"Venta de vehículos híbridos y eléctricos por entidad federativa"

"Año","Mes","Entidad Federativa","Unidades Vehiculares Eléctricas","Unidades Vehiculares Hibridas Plugin","Unidades Vehiculares Hibridas"
"2016","Enero","Aguascalientes",0,0,2
"2016","Enero","Baja California",0,0,1
"2016","Enero","Baja California Sur",0,0,1
"2016","Enero","Campeche",0,0,1
"2016","Enero","Coahuila de Zaragoza",0,0,1
"2016","Enero","Colima",0,1,0
"2016","Enero","Chiapas",0,0,1
"2016","Enero","Chihuahua",0,0,3
"2016","Enero","Ciudad de México",4,0,63
"2016","Enero","Durango",0,0,1
"2016","Enero","Guanajuato",0,0,5
"2016","Enero","Guerrero",0,0,0
"2016","Enero","Hidalgo",0,1,0
"2016","Enero","Jalisco",2,0,7
"2016","Enero","México",1,1,15
"2016","Enero","Michoacán de Ocampo",0,0,1
"2016","Enero","Morelos",0,0,1
"2016","Enero","Nayarit",0,0,0
"2016","Enero","Nuevo León",2,3,10
"2016","Enero","Oaxaca",0,0,1
"2016","Enero","Puebla",0,1,4
"2016","Enero","Querétaro de Árteaga",0,0,0
"2016","Enero","Quintana Roo",0,0,0
"2016","Enero","San Luis Potosí",0,0,0
"2016","Enero","Sinaloa",0,0,1
"2016","Enero","Sonora",0,0,1
"2016","Enero","Tabasco",0,0,0
"2016","Enero","Tamaulipas",0,0,0
"2016","Enero","Tlaxcala",0,0,3
"2016","Enero","Veracruz de Ignacio de la Llave",0,1,0
"2016","Enero","Yucatán",0,0,2
"2016","Enero","Zacatecas",0,0,0
"2016","Enero","No especificado",0,0,0
"2016","Febrero","Aguascalientes",0,0,2
"2016","Febrero","Baja California",0,0,0
"2016","Febrero","Baja California Sur",0,0,0
"2016","Febrero","Campeche",0,0,0
"2016","Febrero","Coahuila de Zaragoza",0,0,3
"2016","Febrero","Colima",0,3,0
"2016","Febrero","Chiapas",0,2,0
"2016","Febrero","Chihuahua",0,0,1
"2016","Febrero","Ciudad de México",7,0,36
"2016","Febrero","Durango",0,0,1
"2016","Febrero","Guanajuato",0,0,2
"2016","Febrero","Guerrero",0,0,0
"2016","Febrero","Hidalgo",0,3,0
"2016","Febrero","Jalisco",5,0,6
"2016","Febrero","México",0,0,6
"2016","Febrero","Michoacán de Ocampo",0,0,0
"2016","Febrero","Morelos",0,0,0
"2016","Febrero","Nayarit",0,0,0
